HDI rank,Country,Life expectancy at birth(years),Expected years of schooling(years),Gross national income (GNI) per capita
1,Switzerland,84,16.5,66933
2,Norway,83.2,18.2,64660
3,Iceland,82.7,19.2,55782
4,"Hong Kong, China (SAR)",85.5,17.3,62607
5,Australia,84.5,21.1,49238
6,Denmark,81.4,18.7,60365
7,Sweden,83,19.4,54489
8,Ireland,82,18.9,76169
9,Germany,80.6,17,54534
10,Netherlands,81.7,18.7,55979
11,Finland,82,19.1,49452
12,Singapore,82.8,16.5,90919
13,Belgium,81.9,19.6,52293
13,New Zealand,82.5,20.3,44057
15,Canada,82.7,16.4,46808
16,Liechtenstein,83.3,15.2,14683
17,Luxembourg,82.6,14.4,84649
18,United Kingdom,80.7,17.3,45225
19,Japan,84.8,15.2,42274
19,Korea (Republic of),83.7,16.5,44501
21,United States,77.2,16.3,64765
22,Israel,82.3,16.1,41524
23,Malta,83.8,16.8,38884
23,Slovenia,80.7,17.7,39746
25,Austria,81.6,16,53619
26,United Arab Emirates,78.7,15.7,62574
27,Spain,83,17.9,38354
28,France,82.5,15.8,45937
29,Cyprus,81.2,15.6,38188
30,Italy,82.9,16.2,42840
31,Estonia,77.1,15.9,38048
32,Czechia,77.7,16.2,38745
33,Greece,80.1,20,29002
34,Poland,76.5,16,33034
35,Bahrain,78.8,16.3,39497
35,Lithuania,73.7,16.3,37931
35,Saudi Arabia,76.9,16.1,46112
38,Portugal,81,16.9,33155
39,Latvia,73.6,16.2,32803
40,Andorra,80.4,13.3,51167
40,Croatia,77.6,15.1,30132
42,Chile,78.9,16.7,24563
42,Qatar,79.3,12.6,87134
44,San Marino,80.9,12.3,52654
45,Slovakia,74.9,14.5,30690
46,Hungary,74.5,15,32789
47,Argentina,75.4,17.9,20925
48,TÃ¼rkiye,76,18.3,31033
49,Montenegro,76.3,15.1,20839
50,Kuwait,78.7,15.3,52920
51,Brunei Darussalam,74.6,14,64490
52,Russian Federation,69.4,15.8,27166
53,Romania,74.2,14.2,30027
54,Oman,72.5,14.6,27054
55,Bahamas,71.6,12.9,30486
56,Kazakhstan,69.4,15.8,23943
57,Trinidad and Tobago,73,14.5,23392
58,Costa Rica,77,16.5,19974
58,Uruguay,75.4,16.8,21269
60,Belarus,72.4,15.2,18849
61,Panama,76.2,13.1,26957
62,Malaysia,74.9,13.3,26658
63,Georgia,71.7,15.6,14664
63,Mauritius,73.6,15.2,22025
63,Serbia,74.2,14.4,19123
66,Thailand,78.7,15.9,17030
67,Albania,76.5,14.4,14131
68,Bulgaria,71.8,13.9,23079
68,Grenada,74.9,18.7,13484
70,Barbados,77.6,15.7,12306
71,Antigua and Barbuda,78.5,14.2,16792
72,Seychelles,71.3,13.9,25831
73,Sri Lanka,76.4,14.1,12578
74,Bosnia and Herzegovina,75.3,13.8,15242
75,Saint Kitts and Nevis,71.7,15.4,23358
76,Iran (Islamic Republic of),73.9,14.6,13001
77,Ukraine,71.6,15,13256
78,North Macedonia,73.8,13.6,15918
79,China,78.2,14.2,17504
80,Dominican Republic,72.6,14.5,17990
80,Moldova (Republic of),68.8,14.4,14875
80,Palau,66,15.8,13819
